author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift And His Undersea Search
Section|3|Fiction/Children
Chapter Count|25
Chapter I. Untold Millions|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 1.dat
Chapter II. A Strange Offer|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 2.dat
Chapter III. Thinking It Over|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 3.dat
Chapter IV. Against His Will|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 4.dat
Chapter V. Busy Days|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 5.dat
Chapter VI. Mary's Odd Story|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 6.dat
Chapter VII. The Trial Trip|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 7.dat
Chapter VIII. The Mud Bank|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 8.dat
Chapter IX. Ready to Start|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 9.dat
Chapter X. Startling Revelations|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 10.dat
Chapter XI. Barton Keith's Story|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 11.dat
Chapter XII. In Deep Waters|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 12.dat
Chapter XIII. The Sea Monster|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 13.dat
Chapter XIV. In Strange Peril|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 14.dat
Chapter XV. Tom to the Rescue|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 15.dat
Chapter XVI. Gasping for Air|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 16.dat
Chapter XVII. Where is It?|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 17.dat
Chapter XVIII. A Separation|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 18.dat
Chapter XIX. The Serpent Weed|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 19.dat
Chapter XX. The Devil Fish|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 20.dat
Chapter XXI. A War Reminder|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 21.dat
Chapter XXII. Studying Currents|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 22.dat
Chapter XXIII. An Undersea Collision|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 23.dat
Chapter XXIV. The Treasure-Ship|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 24.dat
Chapter XXV. The Steel Box|||Victor Appleton ~ Tom Swift And His Undersea Search ~ 25.dat
