author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift And His Wizard Camera
Section|3|Fiction/Children
Chapter Count|25
Chapter I. A Strange Offer|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 1.dat
Chapter II. A Man in the Snow Bank|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 2.dat
Chapter III. Tom MakeS Up His Mind|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 3.dat
Chapter IV. Held Fast|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 4.dat
Chapter V. Tom Gets a Warning|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 5.dat
Chapter VI. Trying the Camera|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 6.dat
Chapter VII. What the Camera Caught|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 7.dat
Chapter VIII. Photos from the Airship|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 8.dat
Chapter IX. Off for India|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 9.dat
Chapter X. Unexpected Excitement|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 10.dat
Chapter XI. An Elephant Stampede|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 11.dat
Chapter XII. The Lion Fight|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 12.dat
Chapter XIII. A Shot in Time|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 13.dat
Chapter XIV. In a Great Gale|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 14.dat
Chapter XV. Snapping an Avalanche|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 15.dat
Chapter XVI. Telegraph Orders|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 16.dat
Chapter XVII. Suspicious Strangers|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 17.dat
Chapter XVIII. The Native Battle|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 18.dat
Chapter XIX. A Heavy Loss|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 19.dat
Chapter XX. After the Englishmen|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 20.dat
Chapter XXI. The Jungle Fire|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 21.dat
Chapter XXII. A Dangerous Commission|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 22.dat
Chapter XXIII. At the Volcano|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 23.dat
Chapter XXIV. The Molten River|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 24.dat
Chapter XXV. The Earthquake--Conclusion|||Victor Appleton ~ Tom Swift And His Wizard Camera ~ 25.dat
