author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift and His Air Scout
Section|3|Fiction/Children
Chapter Count|25
Chapter I. A Sky Ride|||Victor Appleton ~ Tom Swift and His Air Scout ~ 1.dat
Chapter II. A New Idea|||Victor Appleton ~ Tom Swift and His Air Scout ~ 2.dat
Chapter III. The Big Offer|||Victor Appleton ~ Tom Swift and His Air Scout ~ 3.dat
Chapter IV. Mr. Damon's Whizzer|||Victor Appleton ~ Tom Swift and His Air Scout ~ 4.dat
Chapter V. Tom's Project|||Victor Appleton ~ Tom Swift and His Air Scout ~ 5.dat
Chapter VI. Making Plans|||Victor Appleton ~ Tom Swift and His Air Scout ~ 6.dat
Chapter VII. A Problem in Sound|||Victor Appleton ~ Tom Swift and His Air Scout ~ 7.dat
Chapter VIII. Through the Roof|||Victor Appleton ~ Tom Swift and His Air Scout ~ 8.dat
Chapter IX. After a Spy|||Victor Appleton ~ Tom Swift and His Air Scout ~ 9.dat
Chapter X. A Big Splash|||Victor Appleton ~ Tom Swift and His Air Scout ~ 10.dat
Chapter XI. A Night Trip|||Victor Appleton ~ Tom Swift and His Air Scout ~ 11.dat
Chapter XII. The Cry for Help|||Victor Appleton ~ Tom Swift and His Air Scout ~ 12.dat
Chapter XIII. Something Queer|||Victor Appleton ~ Tom Swift and His Air Scout ~ 13.dat
Chapter XIV. The Telephone Call|||Victor Appleton ~ Tom Swift and His Air Scout ~ 14.dat
Chapter XV. A Vain Search|||Victor Appleton ~ Tom Swift and His Air Scout ~ 15.dat
Chapter XVI. The Long Night|||Victor Appleton ~ Tom Swift and His Air Scout ~ 16.dat
Chapter XVII. Silent Sam|||Victor Appleton ~ Tom Swift and His Air Scout ~ 17.dat
Chapter XVIII. Suspicions|||Victor Appleton ~ Tom Swift and His Air Scout ~ 18.dat
Chapter XIX. Another Flight|||Victor Appleton ~ Tom Swift and His Air Scout ~ 19.dat
Chapter XX. Queer Marks|||Victor Appleton ~ Tom Swift and His Air Scout ~ 20.dat
Chapter XXI. The Deserted Cabin|||Victor Appleton ~ Tom Swift and His Air Scout ~ 21.dat
Chapter XXII. Clews at Last|||Victor Appleton ~ Tom Swift and His Air Scout ~ 22.dat
Chapter XXIII. The Government Test|||Victor Appleton ~ Tom Swift and His Air Scout ~ 23.dat
Chapter XXIV. In the Moonlight|||Victor Appleton ~ Tom Swift and His Air Scout ~ 24.dat
Chapter XXV. The Gold Tooth|||Victor Appleton ~ Tom Swift and His Air Scout ~ 25.dat
