author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift and His Airship
Section|3|Fiction/Children
Chapter Count|25
Chapter 1. An Explosion|||Victor Appleton ~ Tom Swift and His Airship ~ 1.dat
Chapter 2. Ned Sees Mysterious Men|||Victor Appleton ~ Tom Swift and His Airship ~ 2.dat
Chapter 3. Whitewashed|||Victor Appleton ~ Tom Swift and His Airship ~ 3.dat
Chapter 4. A Trial Trip|||Victor Appleton ~ Tom Swift and His Airship ~ 4.dat
Chapter 5. Colliding With A Tower|||Victor Appleton ~ Tom Swift and His Airship ~ 5.dat
Chapter 6. Getting Off The Roof|||Victor Appleton ~ Tom Swift and His Airship ~ 6.dat
Chapter 7. Andy Tries a Trick|||Victor Appleton ~ Tom Swift and His Airship ~ 7.dat
Chapter 8. Winning a Prize|||Victor Appleton ~ Tom Swift and His Airship ~ 8.dat
Chapter 9. The Runaway Auto|||Victor Appleton ~ Tom Swift and His Airship ~ 9.dat
Chapter 10. A Bag of Tools|||Victor Appleton ~ Tom Swift and His Airship ~ 10.dat
Chapter 11. The Red Cloud Departs|||Victor Appleton ~ Tom Swift and His Airship ~ 11.dat
Chapter 12. Some Startling News|||Victor Appleton ~ Tom Swift and His Airship ~ 12.dat
Chapter 13. Mr. Damon In Danger|||Victor Appleton ~ Tom Swift and His Airship ~ 13.dat
Chapter 14. Andy Gives The Clue|||Victor Appleton ~ Tom Swift and His Airship ~ 14.dat
Chapter 15. Fired Upon|||Victor Appleton ~ Tom Swift and His Airship ~ 15.dat
Chapter 16. Over a Fiery Furnace|||Victor Appleton ~ Tom Swift and His Airship ~ 16.dat
Chapter 17. "Wanted For Robbery!"|||Victor Appleton ~ Tom Swift and His Airship ~ 17.dat
Chapter 18. Back For Vindication|||Victor Appleton ~ Tom Swift and His Airship ~ 18.dat
Chapter 19. Wrecked|||Victor Appleton ~ Tom Swift and His Airship ~ 19.dat
Chapter 20. Tom Gets A Clue|||Victor Appleton ~ Tom Swift and His Airship ~ 20.dat
Chapter 21. On The Trail|||Victor Appleton ~ Tom Swift and His Airship ~ 21.dat
Chapter 22. The Sheriff On Board|||Victor Appleton ~ Tom Swift and His Airship ~ 22.dat
Chapter 23. On To The Camp|||Victor Appleton ~ Tom Swift and His Airship ~ 23.dat
Chapter 24. The Raid|||Victor Appleton ~ Tom Swift and His Airship ~ 24.dat
Chapter 25. Andy Gets His Reward|||Victor Appleton ~ Tom Swift and His Airship ~ 25.dat
