author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift and His Electric Rifle
Section|3|Fiction/Children
Chapter Count|25
Chapter I. Tom Wants Excitement|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 1.dat
Chapter II. Trying the New Gun|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 2.dat
Chapter III. A Difficult Test|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 3.dat
Chapter IV. Big Tusks Wanted|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 4.dat
Chapter V. Rush Work|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 5.dat
Chapter VI. News from Andy|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 6.dat
Chapter VII. The Black Hawk Flies|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 7.dat
Chapter VIII. Off for Africa|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 8.dat
Chapter IX. Attacked by a Whale|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 9.dat
Chapter X. Off in the Airship|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 10.dat
Chapter XI. Anchored to Earth|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 11.dat
Chapter XII. Among the Natives|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 12.dat
Chapter XIII. On an Elephant Trail|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 13.dat
Chapter XIV. A Stampede|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 14.dat
Chapter XV. Lions in the Night|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 15.dat
Chapter XVI. Seeking the Missionaries|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 16.dat
Chapter XVII. Shots from Above|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 17.dat
Chapter XVIII. News of the Red Pygmies|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 18.dat
Chapter XIX. An Appeal for Help|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 19.dat
Chapter XX. The Fight|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 20.dat
Chapter XXI. Driven Back|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 21.dat
Chapter XXII. A Night Attack|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 22.dat
Chapter XXIII. The Rescue|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 23.dat
Chapter XXIV. Two Other Captives|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 24.dat
Chapter XXV. The Rogue Elephant--Conclusion|||Victor Appleton ~ Tom Swift and His Electric Rifle ~ 25.dat
