author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift and His Motor-Cycle
Section|3|Fiction/Children
Chapter Count|25
Chapter I. A Narrow Escape|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 1.dat
Chapter II. Tom Overhears Something|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 2.dat
Chapter III. In a Smash-Up|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 3.dat
Chapter IV. Tom and a Motor-Cycle|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 4.dat
Chapter V. Mr. Swift is Alarmed|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 5.dat
Chapter VI. An Interview in the Dark|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 6.dat
Chapter VII. Off on a Spin|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 7.dat
Chapter VIII. Suspicious Actions|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 8.dat
Chapter IX. A Fruitless Pursuit|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 9.dat
Chapter X. Off to Albany|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 10.dat
Chapter XI. A Vindictive Tramp|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 11.dat
Chapter XII. The Men in the Auto|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 12.dat
Chapter XIII. Caught in a Storm|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 13.dat
Chapter XIV. Attacked From Behind|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 14.dat
Chapter XV. A Vain Search|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 15.dat
Chapter XVI. Back Home|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 16.dat
Chapter XVII. Mr. Swift in Despair|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 17.dat
Chapter XVIII. Happy Harry Again|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 18.dat
Chapter XIX. Tom on a Hunt|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 19.dat
Chapter XX. Eradicate Saws Wood|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 20.dat
Chapter XXI. Eradicate Gives a Clue|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 21.dat
Chapter XXII. The Strange Mansion|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 22.dat
Chapter XXIII. Tom is Pursued|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 23.dat
Chapter XXIV. Unexpected Help|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 24.dat
Chapter XXV. The Capture--Good-By|||Victor Appleton ~ Tom Swift and His Motor-Cycle ~ 25.dat
