author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift and his Great Searchlight
Section|3|Fiction/Children
Chapter Count|25
Chapter I. A Scrap of Paper|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 1.dat
Chapter II. A Spy in Town|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 2.dat
Chapter III. Queer Repairs|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 3.dat
Chapter IV. Searching for Smugglers.|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 4.dat
Chapter V. The Raid|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 5.dat
Chapter VI. The Appeal to Tom|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 6.dat
Chapter VII. A Searchlight is Needed|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 7.dat
Chapter VIII. Tom's Newest Invention|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 8.dat
Chapter IX. "Beware of the Comet!"|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 9.dat
Chapter X. Off for the Border|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 10.dat
Chapter XI. Andy's New Airship|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 11.dat
Chapter XII. Warned Away|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 12.dat
Chapter XIII. Koku Saves the Light|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 13.dat
Chapter XIV. A False Clew|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 14.dat
Chapter XV. The Rescue on the Lake|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 15.dat
Chapter XVI. Koku's Prisoner|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 16.dat
Chapter XVII. What the Indian Saw|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 17.dat
Chapter XVIII. The Pursuit|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 18.dat
Chapter XIX. In Dire Peril|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 19.dat
Chapter XX. Suspicious Actions|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 20.dat
Chapter XXI. Mr. Period Arrives|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 21.dat
Chapter XXII. Hovering O'er the Border|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 22.dat
Chapter XXIII. Ned is Missing|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 23.dat
Chapter XXIV. The Night Race|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 24.dat
Chapter XXV. The Capture--Conclusion|||Victor Appleton ~ Tom Swift and his Great Searchlight ~ 25.dat
