author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift and his Wireless Message
Section|3|Fiction/Children
Chapter Count|25
Chapter I. An Appeal for Aid|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 1.dat
Chapter II. Miss Nestor's News|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 2.dat
Chapter III. Tom Knocks Out Andy|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 3.dat
Chapter IV. Mr. Damon Will Go Along|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 4.dat
Chapter V. Vol-Planing to Earth|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 5.dat
Chapter VI. The New Airship|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 6.dat
Chapter VII. Making Some Changes|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 7.dat
Chapter VIII. Andy Foger's Revenge|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 8.dat
Chapter IX. The Whizzer Flies|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 9.dat
Chapter X. Over the Ocean|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 10.dat
Chapter XI. A Night of Terror|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 11.dat
Chapter XII. A Downward Glide|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 12.dat
Chapter XIII. On Earthquake Island|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 13.dat
Chapter XIV. A Night in Camp|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 14.dat
Chapter XV. The Other Castaways|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 15.dat
Chapter XVI. An Alarming Theory|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 16.dat
Chapter XVII. A Mighty Shock|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 17.dat
Chapter XVIII. Mr. Jenks Has Diamonds|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 18.dat
Chapter XIX. Secret Operations|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 19.dat
Chapter XX. The Wireless Plant|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 20.dat
Chapter XXI. Messages into Space|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 21.dat
Chapter XXII. Anxious Days|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 22.dat
Chapter XXIII. A Reply in the Dark|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 23.dat
Chapter XXIV. "We Are Lost!"|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 24.dat
Chapter XXV. The Rescue--Conclusion|||Victor Appleton ~ Tom Swift and his Wireless Message ~ 25.dat
