author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift in Captivity
Section|3|Fiction/Children
Chapter Count|25
Chapter I. A Strange Request|||Victor Appleton ~ Tom Swift in Captivity ~ 1.dat
Chapter II. The Circus Man|||Victor Appleton ~ Tom Swift in Captivity ~ 2.dat
Chapter III. Tom Will Go|||Victor Appleton ~ Tom Swift in Captivity ~ 3.dat
Chapter IV. "Look Out for My Rival!"|||Victor Appleton ~ Tom Swift in Captivity ~ 4.dat
Chapter V. Andy Foger Learns Something|||Victor Appleton ~ Tom Swift in Captivity ~ 5.dat
Chapter VI. Alarming News|||Victor Appleton ~ Tom Swift in Captivity ~ 6.dat
Chapter VII. Fire on Board|||Victor Appleton ~ Tom Swift in Captivity ~ 7.dat
Chapter VIII. A Narrow Escape|||Victor Appleton ~ Tom Swift in Captivity ~ 8.dat
Chapter IX. "Forward March!"|||Victor Appleton ~ Tom Swift in Captivity ~ 9.dat
Chapter X. A Wild Horse Stampede|||Victor Appleton ~ Tom Swift in Captivity ~ 10.dat
Chapter XI. Caught in a Living Rope|||Victor Appleton ~ Tom Swift in Captivity ~ 11.dat
Chapter XII. A Native Battle|||Victor Appleton ~ Tom Swift in Captivity ~ 12.dat
Chapter XIII. The Desertion|||Victor Appleton ~ Tom Swift in Captivity ~ 13.dat
Chapter XIV. In Giant Land|||Victor Appleton ~ Tom Swift in Captivity ~ 14.dat
Chapter XV. In the "Palace" of the King|||Victor Appleton ~ Tom Swift in Captivity ~ 15.dat
Chapter XVI. The Rival Circus Man|||Victor Appleton ~ Tom Swift in Captivity ~ 16.dat
Chapter XVII. Held Captives|||Victor Appleton ~ Tom Swift in Captivity ~ 17.dat
Chapter XVIII. Tom's Mysterious Box|||Victor Appleton ~ Tom Swift in Captivity ~ 18.dat
Chapter XIX. Weak Giants|||Victor Appleton ~ Tom Swift in Captivity ~ 19.dat
Chapter XX. The Lone Captive|||Victor Appleton ~ Tom Swift in Captivity ~ 20.dat
Chapter XXI. A Royal Conspiracy|||Victor Appleton ~ Tom Swift in Captivity ~ 21.dat
Chapter XXII. The Twin Giants|||Victor Appleton ~ Tom Swift in Captivity ~ 22.dat
Chapter XXIII. A Surprise in the Night|||Victor Appleton ~ Tom Swift in Captivity ~ 23.dat
Chapter XXIV. The Airship Flight|||Victor Appleton ~ Tom Swift in Captivity ~ 24.dat
Chapter XXV. Tom's Giant--Conclusion|||Victor Appleton ~ Tom Swift in Captivity ~ 25.dat
