author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift in the Caves of Ice
Section|3|Fiction/Children
Chapter Count|25
Chapter I. Eradicate in an Airship|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 1.dat
Chapter II. Andy Foger's Triplane|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 2.dat
Chapter III. Abe is Deceived|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 3.dat
Chapter IV. Tom Gets the Map|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 4.dat
Chapter V. Grave Suspicion's|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 5.dat
Chapter VI. Andy's Airship Flies|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 6.dat
Chapter VII. Ready for the Trip|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 7.dat
Chapter VIII. A Thief in the Night|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 8.dat
Chapter IX. A Vandal's Act|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 9.dat
Chapter X. Tom is Held Up|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 10.dat
Chapter XI. Off for the Frozen North|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 11.dat
Chapter XII. Pelted by Hailstones|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 12.dat
Chapter XIII. A Frightened Indian|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 13.dat
Chapter XIV. The Rival Airship|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 14.dat
Chapter XV. The Race|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 15.dat
Chapter XVI. The Fall of the Anthony|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 16.dat
Chapter  XVII. Hitting the Ice Mountain|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 17.dat
Chapter XVIII. A Fight with Musk Oxen|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 18.dat
Chapter XIX. The Caves of Ice|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 19.dat
Chapter XX. In the Gold Valley|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 20.dat
Chapter XXI. The Fogers Arrive|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 21.dat
Chapter XXII. Jumping the Claim|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 22.dat
Chapter XXIII. Attacked by Natives|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 23.dat
Chapter XXIV. The Wreck of the Airship|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 24.dat
Chapter XXV. The Rescue--Conclusion|||Victor Appleton ~ Tom Swift in the Caves of Ice ~ 25.dat
