author first name | Victor
author last name | Appleton
author full name | Victor Appleton
author formal name | Appleton, Victor
book title | Tom Swift in the Land of Wonders
Section|3|Fiction/Children
Chapter Count|25
Chapter I. A Wonderful Story|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 1.dat
Chapter II. Professor Bumper Arrives|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 2.dat
Chapter III. Blessings and Enthusiasm|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 3.dat
Chapter IV. Fenimore Beecher|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 4.dat
Chapter V. The Little Green God|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 5.dat
Chapter VI. Unpleasant News|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 6.dat
Chapter VII. Tom Hears Something|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 7.dat
Chapter VIII. Off for Honduras|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 8.dat
Chapter IX. Val Jacinto|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 9.dat
Chapter X. In the Wilds|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 10.dat
Chapter XI. The Vampires|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 11.dat
Chapter XII. A False Friend|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 12.dat
Chapter XIII. Forward Again|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 13.dat
Chapter XIV. A New Guide|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 14.dat
Chapter XV. In the Coils|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 15.dat
Chapter XVI. A Meeting in the Jungle|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 16.dat
Chapter XVII. The Lost Map|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 17.dat
Chapter XVIII. "El Tigre!"|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 18.dat
Chapter XIX. Poisoned Arrows|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 19.dat
Chapter XX. An Old Legend|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 20.dat
Chapter XXI. The Cavern|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 21.dat
Chapter XXII. The Storm|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 22.dat
Chapter XXIII. Entombed Alive|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 23.dat
Chapter XXIV. The Revolving Stone|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 24.dat
Chapter XXV. The Idol of Gold|||Victor Appleton ~ Tom Swift in the Land of Wonders ~ 25.dat
